ref_id,category,authors,title,journal,year,volume_issue_pages,pmid,pmcid,doi,verification_source,model_role,confidence,notes
R01,pediatric_review,Joseph A; Ganatra H,Status Asthmaticus in the Pediatric ICU: A Comprehensive Review of Management and Challenges,Pediatric Reports,2024,16(3):644-656,39189288,PMC11348376,10.3390/pediatric16030054,PubMed/PMC/MDPI,"Pediatric status asthmaticus overview; PICU therapies; context for ketamine, magnesium, NIV/IMV and escalation.",high,"Narrative review; useful background, not a source for numerical calibration."
R02,mechanical_ventilation_review,Stather DR; Stewart TE,Clinical review: Mechanical ventilation in severe asthma,Critical Care,2005,9(6):581-587,16356242,PMC1414026,10.1186/cc3733,PubMed/PMC,"Core mechanical-ventilation physiology: gas trapping, dynamic hyperinflation, auto-PEEP, Pplat target, permissive hypercapnia, low RR/VT strategy.",high,"Adult/mixed severe-asthma physiology; applied as directional anchor, not pediatric calibration."
R03,mechanical_ventilation_review,Leatherman J,Mechanical ventilation for severe asthma,Chest,2015,147(6):1671-1680,26033128,,10.1378/chest.14-1733,PubMed/Chest,Modern review supporting ventilator strategy that prioritizes avoidance of complications over rapid hypercapnia correction.,high,Primarily adult severe-asthma review; used for discussion and physiology framing.
R04,experimental_physiology,Tuxen DV; Lane S,"The effects of ventilatory pattern on hyperinflation, airway pressures, and circulation in mechanical ventilation of patients with severe air-flow obstruction",American Review of Respiratory Disease,1987,136(4):872-879,3662241,,10.1164/ajrccm/136.4.872,PubMed/Semantic Scholar,"Physiologic anchor for respiratory pattern effects on hyperinflation, airway pressures and circulation.",high,Adult severe airflow obstruction; foundational for directional model behavior.
R05,clinical_physiology,Leatherman JW; McArthur C; Shapiro RS,Effect of prolongation of expiratory time on dynamic hyperinflation in mechanically ventilated patients with severe asthma,Critical Care Medicine,2004,32(7):1542-1545,15241099,,10.1097/01.CCM.0000130993.43076.20,PubMed/Critical Care Medicine citation,Supports scenario behavior: increasing expiratory time reduces dynamic hyperinflation/plateau pressure.,high,Adult mechanically ventilated severe asthma; strong support for Te/tau educational mechanism.
R06,mechanics_review,Ranieri VM; Grasso S; Fiore T; Giuliani R,Auto-positive end-expiratory pressure and dynamic hyperinflation,Clinics in Chest Medicine,1996,17(3):379-394,8875002,,10.1016/S0272-5231(05)70322-1,PubMed,Conceptual support for auto-PEEP and dynamic hyperinflation measurement/interpretation.,high,General obstructive physiology; not pediatric-specific.
R07,pediatric_imv_series,Sarnaik AP; Daphtary KM; Meert KL; Lieh-Lai MW; Heidemann SM,Pressure-controlled ventilation in children with severe status asthmaticus,Pediatric Critical Care Medicine,2004,5(2):133-138,14987342,,10.1097/01.PCC.0000112374.68746.E8,PubMed/Pediatr Crit Care Med citations,Pediatric invasive-ventilation anchor; supports inclusion of pressure-control/pressure-limited scenarios.,high,"Retrospective pediatric series; supports plausibility, not equation calibration."
R08,pediatric_imv_series,Wetzel RC,Pressure-support ventilation in children with severe asthma,Critical Care Medicine,1996,24(9):1603-1605,8797637,,10.1097/00003246-199609000-00028,PubMed/Ovid,Pediatric pressure-support anchor; supports spontaneous/pressure-support educational scenario.,high,Small/older report; use conservatively.
R09,pediatric_imv_series,Cox RG; Barker GA; Bohn DJ,"Efficacy, results, and complications of mechanical ventilation in children with status asthmaticus",Pediatric Pulmonology,1991,11(2):120-126,1758729,,10.1002/ppul.1950110208,PubMed/Wiley,Pediatric mechanical-ventilation historical outcomes/complications anchor.,high,Older pediatric cohort; useful for background and risk context.
R10,pediatric_epidemiology,Smith A; Franca UL; McManus ML,Trends in the Use of Noninvasive and Invasive Ventilation for Severe Asthma,Pediatrics,2020,146(4):e20200534,32917845,,10.1542/peds.2020-0534,PubMed/AAP,PHIS 2014-2018 epidemiology: NIV increased; IMV rare/stable; age 2-17 target context.,high,Database study; not a physiology source.
R11,pediatric_epidemiology,Smith MA; Dinh D; Ly NP; Ward SL; McGarry ME; Zinter MS,Changes in the Use of Invasive and Noninvasive Mechanical Ventilation in Pediatric Asthma: 2009-2019,Annals of the American Thoracic Society,2023,20(2):245-253,36315585,PMC9989865,10.1513/AnnalsATS.202205-461OC,PubMed/PMC/Oxford Academic,VPS 2009-2019 epidemiology; intubation decreased while NIV increased; supports current relevance.,high,Database study; background only.
R12,pediatric_therapy_review,Nievas IF; Anand KJS,Severe Acute Asthma Exacerbation in Children: A Stepwise Approach for Escalating Therapy in a Pediatric Intensive Care Unit,Journal of Pediatric Pharmacology and Therapeutics,2013,18(2):88-104,23798903,PMC3668947,10.5863/1551-6776-18.2.88,PubMed/PMC,Pediatric escalation therapies; magnesium/ketamine/steroid dose context; stepwise PICU approach.,high,Review/pathway style; useful but not definitive efficacy evidence.
R13,ketamine_review,Goyal S; Agrawal A,Ketamine in status asthmaticus: A review,Indian Journal of Critical Care Medicine,2013,17(3):154-161,24082612,PMC3777369,10.4103/0972-5229.117048,PubMed/PMC,Ketamine as plausible bronchodilator/sedative adjunct; heterogeneous evidence base.,moderate,Narrative review with mixed adult/pediatric reports; do not overclaim efficacy.
R14,ketamine_systematic_review,Jat KR; Chawla D,Ketamine for management of acute exacerbations of asthma in children,Cochrane Database of Systematic Reviews,2012,2012(11):CD009293,23152273,PMC6483733,10.1002/14651858.CD009293.pub2,PubMed/PMC/Cochrane,High-level cautionary anchor: limited pediatric trial evidence; ketamine effect should remain optional and conservative.,high,Supports uncertainty framing more than positive effect size.
R15,ketamine_pediatric_series,Youssef-Ahmed MZ; Silver P; Nimkoff L; Sagy M,Continuous infusion of ketamine in mechanically ventilated children with refractory bronchospasm,Intensive Care Medicine,1996,22(9):972-976,8905436,,10.1007/BF02044126,PubMed/Springer,Pediatric ventilated bronchospasm series; supports a gradual ketamine-response educational scenario.,moderate,"Retrospective, mixed etiologies; use as plausibility signal, not proof."
R16,magnesium_systematic_review,Johnson PN; Drury AS; Gupta N,Continuous Magnesium Sulfate Infusions for Status Asthmaticus in Children: A Systematic Review,Frontiers in Pediatrics,2022,10:853574,35391743,PMC8983002,10.3389/fped.2022.853574,PubMed/Frontiers,Magnesium infusion dosing ranges and safety/efficacy uncertainty in refractory pediatric status asthmaticus.,high,Supports conservative delayed magnesium effect and uncertainty statement.
R17,magnesium_cochrane,Griffiths B; Kew KM,Intravenous magnesium sulfate for treating children with acute asthma in the emergency department,Cochrane Database of Systematic Reviews,2016,2016(4):CD011050,27126744,,10.1002/14651858.CD011050.pub2,PubMed/Cochrane,Evidence anchor for IV magnesium in moderate-to-severe pediatric acute asthma; limited but supportive ED evidence.,high,"ED setting, not necessarily intubated PICU; apply carefully."
R18,clinical_pathway,Children's Mercy Kansas City,Asthma Management in the PICU: Asthma Clinical Practice Guideline Reference Guide,Institutional clinical pathway,current online version checked 2026-06-23,web resource,,,,Children's Mercy official website,"Practical PICU red flags: hypercapnia, HFNC/NIV need, persistent hypoxemia, altered mental status.",moderate,Institutional pathway; not a peer-reviewed article. Keep separate from primary literature if journal dislikes pathway citations.
R19,clinical_guidance,Canadian Paediatric Society,Managing an acute asthma exacerbation in children,Canadian Paediatric Society position statement,2021,web resource,,,,CPS official website,Clinical context for intubation complications and pediatric acute asthma management.,moderate,Guidance document; useful for background and risk wording.
